"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"IDMPProductModel","IDMPProductModel","","","",0,*,"","","","","IDMPIdentifiableProductModel","IDMP Identifiable Product Model","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"IDMPProductModel.name","IDMPProductModel.name","","","",0,*,"","","","BackboneElement {[]} {[]}
","Product Name","Product Name","","","","","","","","","",,,,,"",,,,"IDMPProductModel.name",0,*,"",""
"IDMPProductModel.name.nameType","IDMPProductModel.name.nameType","","","",1,1,"","","","Coding {[]} {[]}
","Name type","Name type","","","","","","","","","",,,,,"",,,,"IDMPProductModel.name.nameType",1,1,"",""
"IDMPProductModel.name.name","IDMPProductModel.name.name","","","",0,1,"","","","string {[]} {[]}
","Name","Name","","","","","","","","","",,,,,"",,,,"IDMPProductModel.name.name",0,1,"",""
"IDMPProductModel.classification","IDMPProductModel.classification","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Classification","Classification","","","","","","","","","",,,,,"",,,,"IDMPProductModel.classification",0,*,"",""
"IDMPProductModel.identifier","IDMPProductModel.identifier","","","",0,*,"","","","BackboneElement {[]} {[]}
","Identifiers","Identifiers","","","","","","","","","",,,,,"",,,,"IDMPProductModel.identifier",0,*,"",""
"IDMPProductModel.identifier.pcid","IDMPProductModel.identifier.pcid","","","",0,1,"","","","Identifier {[]} {[]}
","IDMP PCID","IDMP PCID","","","","","","","","","",,,,,"",,,,"IDMPProductModel.identifier.pcid",0,1,"",""
"IDMPProductModel.identifier.mpid","IDMPProductModel.identifier.mpid","","","",0,1,"","","","Identifier {[]} {[]}
","IDMP MPID","IDMP MPID","","","","","","","","","",,,,,"",,,,"IDMPProductModel.identifier.mpid",0,1,"",""
"IDMPProductModel.identifier.phpid-l4","IDMPProductModel.identifier.phpid_l4","","","",0,1,"","","","Identifier {[]} {[]}
","IDMP PhPID Level 4","IDMP PhPID Level 4","","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""0x073AF2E5B92AE19E8B67635AFFB3D6CA""/>","","",,,,,"",,,,"IDMPProductModel.identifier.phpid_l4",0,1,"",""
"IDMPProductModel.identifier.id","IDMPProductModel.identifier.id","","","",0,*,"","","","Identifier {[]} {[]}
","Any other identifier","Any other identifier","","","","","","","","","",,,,,"",,,,"IDMPProductModel.identifier.id",0,*,"",""
"IDMPProductModel.marketingAuthorizationHolder","IDMPProductModel.marketingAuthorizationHolder","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Authorized Dose Form","Authorized Dose Form","","","","","","","","","",,,,,"",,,,"IDMPProductModel.marketingAuthorizationHolder",0,1,"",""
"IDMPProductModel.doseForm","IDMPProductModel.doseForm","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Authorized Dose Form","Authorized Dose Form","","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""10210000 capsule, hard""/>","","",,,,,"",,,,"IDMPProductModel.doseForm",1,1,"",""
"IDMPProductModel.unitOfPresentation","IDMPProductModel.unitOfPresentation","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Unit of presentation","Unit of presentation","","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""10210000 capsule, hard""/>","","",,,,,"",,,,"IDMPProductModel.unitOfPresentation",1,1,"",""
"IDMPProductModel.routeOfAdministration","IDMPProductModel.routeOfAdministration","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Route of administration","Route of administration","","","","","","","","","",,,,,"",,,,"IDMPProductModel.routeOfAdministration",1,1,"",""
"IDMPProductModel.ingredient","IDMPProductModel.ingredient","","","",1,*,"","","","BackboneElement {[]} {[]}
","Ingredient(s) that are part of the product, with therapeutical usage or not","Ingredient(s) that are part of the product, with therapeutical usage or not","","","","","","","","","",,,,,"",,,,"IDMPProductModel.ingredient",1,*,"",""
"IDMPProductModel.ingredient.substance","IDMPProductModel.ingredient.substance","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Codification of the substance","Codification of the substance","","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""Amlodipine Besilate""/>","","",,,,,"",,,,"IDMPProductModel.ingredient.substance",1,1,"",""
