,EMB_ID,PROD_ID,NR_REGISTO,DESCR,GRUPO_HOM_COD,QUANT_TOT,UNID_QUANT_TOT_ID,QUANTIDADE,UNID_QUANT_ID,TIPO_EMB_ID,ACOND_PRIMARIO_ID,TIPO_TRATAMENTO_ID,ESTADO_EMB_ID,IND_EMB_UNITARIA,IND_EMB_HOSPITALAR,IND_DISP_SEGURANCA,PEM_AMB,PEM_AMB_MS,PEM_AMB_BIO,PEM_AMB_BIO_MS,CNPEM,CHNM_COD,CDM,REFERENCIA,CARACT_ESPECIFICAS,Dosagem,Nome,ind_generico,form_farm_descr,Forma_farm_id,tipo_emb_descr,Tipo_prod_descr,Grupo_hom_descr,Estado_AIM_descr,Class_Disp_descr,Titular_AIM_descr,DCIPT_descr,DCIPT_ID,full_name,numerator_value,numerator_unit,denominator_value,denominator_unit,DCIPT_descr_parse,routes_id,routes_descr,edqm_routes_id,edqm_routes_descr_en,atc_code,atc_descr,edqm_dose_form_id,edqm_dose_form_descr_en,edqm_dose_form_descr_pt,mapping_term
135,10424,6249,8793018,Blister - 30 unidade(s),GH0000,30.0,32,,,,7,2,0,N,N,S,N,N,N,N,50013327.0,10017457,,,,5 mg,Norvasc,N,Comprimido,271,,Medicamento Uso Humano,,Autorizado,MSRM,Upjohn EESV,Amlodipina,174,Norvasc 5 mg Comprimido Blister - 30 unidade(s),5,mg,,,Amlodipina,48,Via oral,20053000.0,Oral use,C08CA01,amlodipine,10219000.0,Tablet,Comprimido,Comprimido
136,10425,6249,8793000,Blister - 10 unidade(s),GH0000,10.0,32,,,,7,2,0,N,N,S,N,N,N,N,50013335.0,10017457,,,,5 mg,Norvasc,N,Comprimido,271,,Medicamento Uso Humano,,Autorizado,MSRM,Upjohn EESV,Amlodipina,174,Norvasc 5 mg Comprimido Blister - 10 unidade(s),5,mg,,,Amlodipina,48,Via oral,20053000.0,Oral use,C08CA01,amlodipine,10219000.0,Tablet,Comprimido,Comprimido
137,10426,6250,8793026,Blister - 30 unidade(s),GH0000,30.0,32,,,,7,2,0,N,N,S,N,N,N,N,50013351.0,10014774,,,,10 mg,Norvasc,N,Comprimido,271,,Medicamento Uso Humano,,Autorizado,MSRM,Upjohn EESV,Amlodipina,174,Norvasc 10 mg Comprimido Blister - 30 unidade(s),10,mg,,,Amlodipina,48,Via oral,20053000.0,Oral use,C08CA01,amlodipine,10219000.0,Tablet,Comprimido,Comprimido
444,42511,29059,3240298,Blister - 10 unidade(s),GH0150,10.0,32,,,,7,2,0,N,N,S,S,S,N,N,50013335.0,10017457,,,,5 mg,Amlodipina Farmoz 5 mg Comprimidos,S,Comprimido,271,,Medicamento Uso Humano,Amlodipina | A101 | Oral | 5 mg | [1-20] unidades,Autorizado,MSRM,"Farmoz - Sociedade Técnico Medicinal, S.A.",Amlodipina,174,Amlodipina Farmoz 5 mg Comprimidos 5 mg Comprimido Blister - 10 unidade(s),5,mg,,,Amlodipina,48,Via oral,20053000.0,Oral use,C08CA01,amlodipine,10219000.0,Tablet,Comprimido,Comprimido
445,42512,29059,3240397,Blister - 30 unidade(s),GH0000,30.0,32,,,,7,2,0,N,N,S,N,N,N,N,50013327.0,10017457,,,,5 mg,Amlodipina Farmoz 5 mg Comprimidos,S,Comprimido,271,,Medicamento Uso Humano,,Autorizado,MSRM,"Farmoz - Sociedade Técnico Medicinal, S.A.",Amlodipina,174,Amlodipina Farmoz 5 mg Comprimidos 5 mg Comprimido Blister - 30 unidade(s),5,mg,,,Amlodipina,48,Via oral,20053000.0,Oral use,C08CA01,amlodipine,10219000.0,Tablet,Comprimido,Comprimido
446,42514,29060,3240496,Blister - 30 unidade(s),GH0000,30.0,32,,,,7,2,0,N,N,S,N,N,N,N,50013351.0,10014774,,,,10 mg,Amlodipina Farmoz 10 mg Comprimidos,S,Comprimido,271,,Medicamento Uso Humano,,Autorizado,MSRM,"Farmoz - Sociedade Técnico Medicinal, S.A.",Amlodipina,174,Amlodipina Farmoz 10 mg Comprimidos 10 mg Comprimido Blister - 30 unidade(s),10,mg,,,Amlodipina,48,Via oral,20053000.0,Oral use,C08CA01,amlodipine,10219000.0,Tablet,Comprimido,Comprimido
447,42515,29061,3335395,Blister - 10 unidade(s),GH0150,10.0,32,,,,7,2,0,N,N,S,S,S,N,N,50013335.0,10017457,,,,5 mg,Amlodipina Basi,S,Comprimido,271,,Medicamento Uso Humano,Amlodipina | A101 | Oral | 5 mg | [1-20] unidades,Autorizado,MSRM,"Laboratórios Basi - Indústria Farmacêutica, S.A",Amlodipina,174,Amlodipina Basi 5 mg Comprimido Blister - 10 unidade(s),5,mg,,,Amlodipina,48,Via oral,20053000.0,Oral use,C08CA01,amlodipine,10219000.0,Tablet,Comprimido,Comprimido
448,42516,29061,3335494,Blister - 30 unidade(s),GH0000,30.0,32,,,,7,2,0,N,N,S,N,N,N,N,50013327.0,10017457,,,,5 mg,Amlodipina Basi,S,Comprimido,271,,Medicamento Uso Humano,,Autorizado,MSRM,"Laboratórios Basi - Indústria Farmacêutica, S.A",Amlodipina,174,Amlodipina Basi 5 mg Comprimido Blister - 30 unidade(s),5,mg,,,Amlodipina,48,Via oral,20053000.0,Oral use,C08CA01,amlodipine,10219000.0,Tablet,Comprimido,Comprimido
449,42518,29062,3335593,Blister - 30 unidade(s),GH0000,30.0,32,,,,7,2,0,N,N,S,N,N,N,N,50013351.0,10014774,,,,10 mg,Amlodipina Basi,S,Comprimido,271,,Medicamento Uso Humano,,Autorizado,MSRM,"Laboratórios Basi - Indústria Farmacêutica, S.A",Amlodipina,174,Amlodipina Basi 10 mg Comprimido Blister - 30 unidade(s),10,mg,,,Amlodipina,48,Via oral,20053000.0,Oral use,C08CA01,amlodipine,10219000.0,Tablet,Comprimido,Comprimido
450,42519,29063,3240595,Blister - 10 unidade(s),GH0150,10.0,32,,,,7,2,0,N,N,S,S,S,N,N,50013335.0,10017457,,,,5 mg,Amlodipina Mibral,S,Comprimido,271,,Medicamento Uso Humano,Amlodipina | A101 | Oral | 5 mg | [1-20] unidades,Autorizado,MSRM,"Pentafarma - Sociedade Técnico-Medicinal, S.A.",Amlodipina,174,Amlodipina Mibral 5 mg Comprimido Blister - 10 unidade(s),5,mg,,,Amlodipina,48,Via oral,20053000.0,Oral use,C08CA01,amlodipine,10219000.0,Tablet,Comprimido,Comprimido
451,42520,29063,3240694,Blister - 30 unidade(s),GH0000,30.0,32,,,,7,2,0,N,N,S,N,N,N,N,50013327.0,10017457,,,,5 mg,Amlodipina Mibral,S,Comprimido,271,,Medicamento Uso Humano,,Autorizado,MSRM,"Pentafarma - Sociedade Técnico-Medicinal, S.A.",Amlodipina,174,Amlodipina Mibral 5 mg Comprimido Blister - 30 unidade(s),5,mg,,,Amlodipina,48,Via oral,20053000.0,Oral use,C08CA01,amlodipine,10219000.0,Tablet,Comprimido,Comprimido
452,42522,29064,3240793,Blister - 30 unidade(s),GH0000,30.0,32,,,,7,2,0,N,N,S,N,N,N,N,50013351.0,10014774,,,,10 mg,Amlodipina Mibral,S,Comprimido,271,,Medicamento Uso Humano,,Autorizado,MSRM,"Pentafarma - Sociedade Técnico-Medicinal, S.A.",Amlodipina,174,Amlodipina Mibral 10 mg Comprimido Blister - 30 unidade(s),10,mg,,,Amlodipina,48,Via oral,20053000.0,Oral use,C08CA01,amlodipine,10219000.0,Tablet,Comprimido,Comprimido
956,55502,33351,4016788,Blister - 10 unidade(s),GH0150,10.0,32,,,,7,2,0,N,N,S,S,S,N,N,50013335.0,10017457,,,,5 mg,Amlodipina Alter 5 mg comprimidos,S,Comprimido,271,,Medicamento Uso Humano,Amlodipina | A101 | Oral | 5 mg | [1-20] unidades,Autorizado,MSRM,"Alter, S.A.",Amlodipina,174,Amlodipina Alter 5 mg comprimidos 5 mg Comprimido Blister - 10 unidade(s),5,mg,,,Amlodipina,48,Via oral,20053000.0,Oral use,C08CA01,amlodipine,10219000.0,Tablet,Comprimido,Comprimido
957,55503,33351,4016887,Blister - 30 unidade(s),GH0000,30.0,32,,,,7,2,0,N,N,S,N,N,N,N,50013327.0,10017457,,,,5 mg,Amlodipina Alter 5 mg comprimidos,S,Comprimido,271,,Medicamento Uso Humano,,Autorizado,MSRM,"Alter, S.A.",Amlodipina,174,Amlodipina Alter 5 mg comprimidos 5 mg Comprimido Blister - 30 unidade(s),5,mg,,,Amlodipina,48,Via oral,20053000.0,Oral use,C08CA01,amlodipine,10219000.0,Tablet,Comprimido,Comprimido
958,55506,33352,4016986,Blister - 30 unidade(s),GH0000,30.0,32,,,,7,2,0,N,N,S,N,N,N,N,50013351.0,10014774,,,,10 mg,Amlodipina Alter 10 mg comprimidos,S,Comprimido,271,,Medicamento Uso Humano,,Autorizado,MSRM,"Alter, S.A.",Amlodipina,174,Amlodipina Alter 10 mg comprimidos 10 mg Comprimido Blister - 30 unidade(s),10,mg,,,Amlodipina,48,Via oral,20053000.0,Oral use,C08CA01,amlodipine,10219000.0,Tablet,Comprimido,Comprimido
1027,57678,33352,4017083,Blister - 60 unidade(s),GH0147,60.0,32,,,,7,2,0,N,N,S,S,S,N,N,50013360.0,10014774,,,,10 mg,Amlodipina Alter 10 mg comprimidos,S,Comprimido,271,,Medicamento Uso Humano,Amlodipina | A101 | Oral | 10 mg | [21-60] unidades,Autorizado,MSRM,"Alter, S.A.",Amlodipina,174,Amlodipina Alter 10 mg comprimidos 10 mg Comprimido Blister - 60 unidade(s),10,mg,,,Amlodipina,48,Via oral,20053000.0,Oral use,C08CA01,amlodipine,10219000.0,Tablet,Comprimido,Comprimido
1048,58159,29059,4517892,Blister - 100 unidade(s),GH0000,100.0,32,,,,7,2,0,N,N,S,N,N,N,N,50024639.0,10017457,,,,5 mg,Amlodipina Farmoz 5 mg Comprimidos,S,Comprimido,271,,Medicamento Uso Humano,,Autorizado,MSRM,"Farmoz - Sociedade Técnico Medicinal, S.A.",Amlodipina,174,Amlodipina Farmoz 5 mg Comprimidos 5 mg Comprimido Blister - 100 unidade(s),5,mg,,,Amlodipina,48,Via oral,20053000.0,Oral use,C08CA01,amlodipine,10219000.0,Tablet,Comprimido,Comprimido
1049,58160,29060,4540399,Blister - 10 unidade(s),GH0000,10.0,32,,,,7,2,0,N,N,S,N,N,N,N,50024647.0,10014774,,,,10 mg,Amlodipina Farmoz 10 mg Comprimidos,S,Comprimido,271,,Medicamento Uso Humano,,Autorizado,MSRM,"Farmoz - Sociedade Técnico Medicinal, S.A.",Amlodipina,174,Amlodipina Farmoz 10 mg Comprimidos 10 mg Comprimido Blister - 10 unidade(s),10,mg,,,Amlodipina,48,Via oral,20053000.0,Oral use,C08CA01,amlodipine,10219000.0,Tablet,Comprimido,Comprimido
1050,58161,29060,4540498,Blister - 100 unidade(s),GH0000,100.0,32,,,,7,2,0,N,N,S,N,N,N,N,50024655.0,10014774,,,,10 mg,Amlodipina Farmoz 10 mg Comprimidos,S,Comprimido,271,,Medicamento Uso Humano,,Autorizado,MSRM,"Farmoz - Sociedade Técnico Medicinal, S.A.",Amlodipina,174,Amlodipina Farmoz 10 mg Comprimidos 10 mg Comprimido Blister - 100 unidade(s),10,mg,,,Amlodipina,48,Via oral,20053000.0,Oral use,C08CA01,amlodipine,10219000.0,Tablet,Comprimido,Comprimido
1051,58177,29061,4517298,Blister - 100 unidade(s),GH0000,100.0,32,,,,7,2,0,N,N,S,N,N,N,N,50024639.0,10017457,,,,5 mg,Amlodipina Basi,S,Comprimido,271,,Medicamento Uso Humano,,Autorizado,MSRM,"Laboratórios Basi - Indústria Farmacêutica, S.A",Amlodipina,174,Amlodipina Basi 5 mg Comprimido Blister - 100 unidade(s),5,mg,,,Amlodipina,48,Via oral,20053000.0,Oral use,C08CA01,amlodipine,10219000.0,Tablet,Comprimido,Comprimido
1052,58178,29062,4517397,Blister - 10 unidade(s),GH0000,10.0,32,,,,7,2,0,N,N,S,N,N,N,N,50024647.0,10014774,,,,10 mg,Amlodipina Basi,S,Comprimido,271,,Medicamento Uso Humano,,Autorizado,MSRM,"Laboratórios Basi - Indústria Farmacêutica, S.A",Amlodipina,174,Amlodipina Basi 10 mg Comprimido Blister - 10 unidade(s),10,mg,,,Amlodipina,48,Via oral,20053000.0,Oral use,C08CA01,amlodipine,10219000.0,Tablet,Comprimido,Comprimido
1053,58179,29062,4517496,Blister - 100 unidade(s),GH0000,100.0,32,,,,7,2,0,N,N,S,N,N,N,N,50024655.0,10014774,,,,10 mg,Amlodipina Basi,S,Comprimido,271,,Medicamento Uso Humano,,Autorizado,MSRM,"Laboratórios Basi - Indústria Farmacêutica, S.A",Amlodipina,174,Amlodipina Basi 10 mg Comprimido Blister - 100 unidade(s),10,mg,,,Amlodipina,48,Via oral,20053000.0,Oral use,C08CA01,amlodipine,10219000.0,Tablet,Comprimido,Comprimido
